id,num,name,type1,type2,hp,atk,def,spa,spd,spe,ability_primary,ability_secondary,ability_hidden,height_m,weight_kg,color,egg_groups,gender_ratio_m,gender_ratio_f,forme,base_species
seaking,119,Seaking,Water,,80,92,65,65,80,68,Swift Swim,Water Veil,Lightning Rod,1.3,39,Red,Water 2,,,,
staryu,120,Staryu,Water,,30,45,55,70,55,85,Illuminate,Natural Cure,Analytic,0.8,34.5,Brown,Water 3,,,,
starmie,121,Starmie,Water,Psychic,60,75,85,100,85,115,Illuminate,Natural Cure,Analytic,1.1,80,Purple,Water 3,,,,
starmiemega,121,Starmie-Mega,Water,Psychic,60,140,105,130,105,120,Illuminate,Natural Cure,Analytic,2.3,80,Purple,Water 3,,,Mega,Starmie
mrmime,122,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,Soundproof,Filter,Technician,1.3,54.5,Pink,Human-Like,,,,
mrmimegalar,122,Mr. Mime-Galar,Ice,Psychic,50,65,65,90,90,100,Vital Spirit,Screen Cleaner,Ice Body,1.4,56.8,White,Human-Like,,,Galar,Mr. Mime
scyther,123,Scyther,Bug,Flying,70,110,80,55,80,105,Swarm,Technician,Steadfast,1.5,56,Green,Bug,,,,
jynx,124,Jynx,Ice,Psychic,65,50,35,115,95,95,Oblivious,Forewarn,Dry Skin,1.4,40.6,Red,Human-Like,,,,
electabuzz,125,Electabuzz,Electric,,65,83,57,95,85,105,Static,,Vital Spirit,1.1,30,Yellow,Human-Like,0.75,0.25,,
magmar,126,Magmar,Fire,,65,95,57,100,85,93,Flame Body,,Vital Spirit,1.3,44.5,Red,Human-Like,0.75,0.25,,
pinsir,127,Pinsir,Bug,,65,125,100,55,70,85,Hyper Cutter,Mold Breaker,Moxie,1.5,55,Brown,Bug,,,,
pinsirmega,127,Pinsir-Mega,Bug,Flying,65,155,120,65,90,105,Aerilate,,,1.7,59,Brown,Bug,,,Mega,Pinsir
tauros,128,Tauros,Normal,,75,100,95,40,70,110,Intimidate,Anger Point,Sheer Force,1.4,88.4,Brown,Field,,,,
taurospaldeacombat,128,Tauros-Paldea-Combat,Fighting,,75,110,105,30,70,100,Intimidate,Anger Point,Cud Chew,1.4,115,Black,Field,,,Paldea-Combat,Tauros
taurospaldeablaze,128,Tauros-Paldea-Blaze,Fighting,Fire,75,110,105,30,70,100,Intimidate,Anger Point,Cud Chew,1.4,85,Black,Field,,,Paldea-Blaze,Tauros
taurospaldeaaqua,128,Tauros-Paldea-Aqua,Fighting,Water,75,110,105,30,70,100,Intimidate,Anger Point,Cud Chew,1.4,110,Black,Field,,,Paldea-Aqua,Tauros
magikarp,129,Magikarp,Water,,20,10,55,15,20,80,Swift Swim,,Rattled,0.9,10,Red,Water 2; Dragon,,,,
gyarados,130,Gyarados,Water,Flying,95,125,79,60,100,81,Intimidate,,Moxie,6.5,235,Blue,Water 2; Dragon,,,,
gyaradosmega,130,Gyarados-Mega,Water,Dark,95,155,109,70,130,81,Mold Breaker,,,6.5,305,Blue,Water 2; Dragon,,,Mega,Gyarados
lapras,131,Lapras,Water,Ice,130,85,80,85,95,60,Water Absorb,Shell Armor,Hydration,2.5,220,Blue,Monster; Water 1,,,,
laprasgmax,131,Lapras-Gmax,Water,Ice,130,85,80,85,95,60,Water Absorb,Shell Armor,Hydration,24,0,Blue,Monster; Water 1,,,Gmax,Lapras
ditto,132,Ditto,Normal,,48,48,48,48,48,48,Limber,,Imposter,0.3,4,Purple,Ditto,,,,
eevee,133,Eevee,Normal,,55,55,50,45,65,55,Run Away,Adaptability,Anticipation,0.3,6.5,Brown,Field,0.875,0.125,,
eeveestarter,133,Eevee-Starter,Normal,,65,75,70,65,85,75,Run Away,Adaptability,Anticipation,0.3,6.5,Brown,Undiscovered,0.875,0.125,Starter,Eevee
eeveegmax,133,Eevee-Gmax,Normal,,55,55,50,45,65,55,Run Away,Adaptability,Anticipation,18,0,Brown,Field,0.875,0.125,Gmax,Eevee
vaporeon,134,Vaporeon,Water,,130,65,60,110,95,65,Water Absorb,,Hydration,1,29,Blue,Field,0.875,0.125,,
jolteon,135,Jolteon,Electric,,65,65,60,110,95,130,Volt Absorb,,Quick Feet,0.8,24.5,Yellow,Field,0.875,0.125,,
flareon,136,Flareon,Fire,,65,130,60,95,110,65,Flash Fire,,Guts,0.9,25,Red,Field,0.875,0.125,,
porygon,137,Porygon,Normal,,65,60,70,85,75,40,Trace,Download,Analytic,0.8,36.5,Pink,Mineral,,,,
omanyte,138,Omanyte,Rock,Water,35,40,100,90,55,35,Swift Swim,Shell Armor,Weak Armor,0.4,7.5,Blue,Water 1; Water 3,0.875,0.125,,
omastar,139,Omastar,Rock,Water,70,60,125,115,70,55,Swift Swim,Shell Armor,Weak Armor,1,35,Blue,Water 1; Water 3,0.875,0.125,,
kabuto,140,Kabuto,Rock,Water,30,80,90,55,45,55,Swift Swim,Battle Armor,Weak Armor,0.5,11.5,Brown,Water 1; Water 3,0.875,0.125,,
kabutops,141,Kabutops,Rock,Water,60,115,105,65,70,80,Swift Swim,Battle Armor,Weak Armor,1.3,40.5,Brown,Water 1; Water 3,0.875,0.125,,
aerodactyl,142,Aerodactyl,Rock,Flying,80,105,65,60,75,130,Rock Head,Pressure,Unnerve,1.8,59,Purple,Flying,0.875,0.125,,
aerodactylmega,142,Aerodactyl-Mega,Rock,Flying,80,135,85,70,95,150,Tough Claws,,,2.1,79,Purple,Flying,0.875,0.125,Mega,Aerodactyl
snorlax,143,Snorlax,Normal,,160,110,65,65,110,30,Immunity,Thick Fat,Gluttony,2.1,460,Black,Monster,0.875,0.125,,
snorlaxgmax,143,Snorlax-Gmax,Normal,,160,110,65,65,110,30,Immunity,Thick Fat,Gluttony,35,0,Black,Monster,0.875,0.125,Gmax,Snorlax
articuno,144,Articuno,Ice,Flying,90,85,100,95,125,85,Pressure,,Snow Cloak,1.7,55.4,Blue,Undiscovered,,,,
articunogalar,144,Articuno-Galar,Psychic,Flying,90,85,85,125,100,95,Competitive,,,1.7,50.9,Purple,Undiscovered,,,Galar,Articuno
zapdos,145,Zapdos,Electric,Flying,90,90,85,125,90,100,Pressure,,Static,1.6,52.6,Yellow,Undiscovered,,,,
zapdosgalar,145,Zapdos-Galar,Fighting,Flying,90,125,90,85,90,100,Defiant,,,1.6,58.2,Yellow,Undiscovered,,,Galar,Zapdos
moltres,146,Moltres,Fire,Flying,90,100,90,125,85,90,Pressure,,Flame Body,2,60,Yellow,Undiscovered,,,,
moltresgalar,146,Moltres-Galar,Dark,Flying,90,85,90,100,125,90,Berserk,,,2,66,Red,Undiscovered,,,Galar,Moltres
dratini,147,Dratini,Dragon,,41,64,45,50,50,50,Shed Skin,,Marvel Scale,1.8,3.3,Blue,Water 1; Dragon,,,,
dragonair,148,Dragonair,Dragon,,61,84,65,70,70,70,Shed Skin,,Marvel Scale,4,16.5,Blue,Water 1; Dragon,,,,
dragonite,149,Dragonite,Dragon,Flying,91,134,95,100,100,80,Inner Focus,,Multiscale,2.2,210,Brown,Water 1; Dragon,,,,
dragonitemega,149,Dragonite-Mega,Dragon,Flying,91,124,115,145,125,100,Inner Focus,,Multiscale,2.2,290,Brown,Water 1; Dragon,,,Mega,Dragonite
mewtwo,150,Mewtwo,Psychic,,106,110,90,154,90,130,Pressure,,Unnerve,2,122,Purple,Undiscovered,,,,
mewtwomegax,150,Mewtwo-Mega-X,Psychic,Fighting,106,190,100,154,100,130,Steadfast,,,2.3,127,Purple,Undiscovered,,,Mega-X,Mewtwo
mewtwomegay,150,Mewtwo-Mega-Y,Psychic,,106,150,70,194,120,140,Insomnia,,,1.5,33,Purple,Undiscovered,,,Mega-Y,Mewtwo
mew,151,Mew,Psychic,,100,100,100,100,100,100,Synchronize,,,0.4,4,Pink,Undiscovered,,,,
chikorita,152,Chikorita,Grass,,45,49,65,49,65,45,Overgrow,,Leaf Guard,0.9,6.4,Green,Monster; Grass,0.875,0.125,,
bayleef,153,Bayleef,Grass,,60,62,80,63,80,60,Overgrow,,Leaf Guard,1.2,15.8,Green,Monster; Grass,0.875,0.125,,
meganium,154,Meganium,Grass,,80,82,100,83,100,80,Overgrow,,Leaf Guard,1.8,100.5,Green,Monster; Grass,0.875,0.125,,
meganiummega,154,Meganium-Mega,Grass,Fairy,80,92,115,143,115,80,Overgrow,,Leaf Guard,2.4,201,Green,Monster; Grass,0.875,0.125,Mega,Meganium
cyndaquil,155,Cyndaquil,Fire,,39,52,43,60,50,65,Blaze,,Flash Fire,0.5,7.9,Yellow,Field,0.875,0.125,,
quilava,156,Quilava,Fire,,58,64,58,80,65,80,Blaze,,Flash Fire,0.9,19,Yellow,Field,0.875,0.125,,
typhlosion,157,Typhlosion,Fire,,78,84,78,109,85,100,Blaze,,Flash Fire,1.7,79.5,Yellow,Field,0.875,0.125,,
typhlosionhisui,157,Typhlosion-Hisui,Fire,Ghost,73,84,78,119,85,95,Blaze,,Frisk,1.6,69.8,Yellow,Field,0.875,0.125,Hisui,Typhlosion
totodile,158,Totodile,Water,,50,65,64,44,48,43,Torrent,,Sheer Force,0.6,9.5,Blue,Monster; Water 1,0.875,0.125,,
croconaw,159,Croconaw,Water,,65,80,80,59,63,58,Torrent,,Sheer Force,1.1,25,Blue,Monster; Water 1,0.875,0.125,,
feraligatr,160,Feraligatr,Water,,85,105,100,79,83,78,Torrent,,Sheer Force,2.3,88.8,Blue,Monster; Water 1,0.875,0.125,,
feraligatrmega,160,Feraligatr-Mega,Water,Dragon,85,160,125,89,93,78,Torrent,,Sheer Force,2.3,108.8,Blue,Monster; Water 1,0.875,0.125,Mega,Feraligatr
sentret,161,Sentret,Normal,,35,46,34,35,45,20,Run Away,Keen Eye,Frisk,0.8,6,Brown,Field,,,,
furret,162,Furret,Normal,,85,76,64,45,55,90,Run Away,Keen Eye,Frisk,1.8,32.5,Brown,Field,,,,
hoothoot,163,Hoothoot,Normal,Flying,60,30,30,36,56,50,Insomnia,Keen Eye,Tinted Lens,0.7,21.2,Brown,Flying,,,,
noctowl,164,Noctowl,Normal,Flying,100,50,50,86,96,70,Insomnia,Keen Eye,Tinted Lens,1.6,40.8,Brown,Flying,,,,
ledyba,165,Ledyba,Bug,Flying,40,20,30,40,80,55,Swarm,Early Bird,Rattled,1,10.8,Red,Bug,,,,
ledian,166,Ledian,Bug,Flying,55,35,50,55,110,85,Swarm,Early Bird,Iron Fist,1.4,35.6,Red,Bug,,,,
spinarak,167,Spinarak,Bug,Poison,40,60,40,40,40,30,Swarm,Insomnia,Sniper,0.5,8.5,Green,Bug,,,,
ariados,168,Ariados,Bug,Poison,70,90,70,60,70,40,Swarm,Insomnia,Sniper,1.1,33.5,Red,Bug,,,,
crobat,169,Crobat,Poison,Flying,85,90,80,70,80,130,Inner Focus,,Infiltrator,1.8,75,Purple,Flying,,,,
chinchou,170,Chinchou,Water,Electric,75,38,38,56,56,67,Volt Absorb,Illuminate,Water Absorb,0.5,12,Blue,Water 2,,,,
lanturn,171,Lanturn,Water,Electric,125,58,58,76,76,67,Volt Absorb,Illuminate,Water Absorb,1.2,22.5,Blue,Water 2,,,,
pichu,172,Pichu,Electric,,20,40,15,35,35,60,Static,,Lightning Rod,0.3,2,Yellow,Undiscovered,,,,
pichuspikyeared,172,Pichu-Spiky-eared,Electric,,20,40,15,35,35,60,Static,,,0.3,2,Yellow,Undiscovered,,,Spiky-eared,Pichu
cleffa,173,Cleffa,Fairy,,50,25,28,45,55,15,Cute Charm,Magic Guard,Friend Guard,0.3,3,Pink,Undiscovered,0.25,0.75,,
igglybuff,174,Igglybuff,Normal,Fairy,90,30,15,40,20,15,Cute Charm,Competitive,Friend Guard,0.3,1,Pink,Undiscovered,0.25,0.75,,
togepi,175,Togepi,Fairy,,35,20,65,40,65,20,Hustle,Serene Grace,Super Luck,0.3,1.5,White,Undiscovered,0.875,0.125,,
togetic,176,Togetic,Fairy,Flying,55,40,85,80,105,40,Hustle,Serene Grace,Super Luck,0.6,3.2,White,Flying; Fairy,0.875,0.125,,
natu,177,Natu,Psychic,Flying,40,50,45,70,45,70,Synchronize,Early Bird,Magic Bounce,0.2,2,Green,Flying,,,,
xatu,178,Xatu,Psychic,Flying,65,75,70,95,70,95,Synchronize,Early Bird,Magic Bounce,1.5,15,Green,Flying,,,,
mareep,179,Mareep,Electric,,55,40,40,65,45,35,Static,,Plus,0.6,7.8,White,Monster; Field,,,,
flaaffy,180,Flaaffy,Electric,,70,55,55,80,60,45,Static,,Plus,0.8,13.3,Pink,Monster; Field,,,,
ampharos,181,Ampharos,Electric,,90,75,85,115,90,55,Static,,Plus,1.4,61.5,Yellow,Monster; Field,,,,
ampharosmega,181,Ampharos-Mega,Electric,Dragon,90,95,105,165,110,45,Mold Breaker,,,1.4,61.5,Yellow,Monster; Field,,,Mega,Ampharos
bellossom,182,Bellossom,Grass,,75,80,95,90,100,50,Chlorophyll,,Healer,0.4,5.8,Green,Grass,,,,
marill,183,Marill,Water,Fairy,70,20,50,20,50,40,Thick Fat,Huge Power,Sap Sipper,0.4,8.5,Blue,Water 1; Fairy,,,,
azumarill,184,Azumarill,Water,Fairy,100,50,80,60,80,50,Thick Fat,Huge Power,Sap Sipper,0.8,28.5,Blue,Water 1; Fairy,,,,
sudowoodo,185,Sudowoodo,Rock,,70,100,115,30,65,30,Sturdy,Rock Head,Rattled,1.2,38,Brown,Mineral,,,,
politoed,186,Politoed,Water,,90,75,75,90,100,70,Water Absorb,Damp,Drizzle,1.1,33.9,Green,Water 1,,,,
hoppip,187,Hoppip,Grass,Flying,35,35,40,35,55,50,Chlorophyll,Leaf Guard,Infiltrator,0.4,0.5,Pink,Fairy; Grass,,,,
skiploom,188,Skiploom,Grass,Flying,55,45,50,45,65,80,Chlorophyll,Leaf Guard,Infiltrator,0.6,1,Green,Fairy; Grass,,,,
jumpluff,189,Jumpluff,Grass,Flying,75,55,70,55,95,110,Chlorophyll,Leaf Guard,Infiltrator,0.8,3,Blue,Fairy; Grass,,,,
aipom,190,Aipom,Normal,,55,70,55,40,55,85,Run Away,Pickup,Skill Link,0.8,11.5,Purple,Field,,,,
sunkern,191,Sunkern,Grass,,30,30,30,30,30,30,Chlorophyll,Solar Power,Early Bird,0.3,1.8,Yellow,Grass,,,,
sunflora,192,Sunflora,Grass,,75,75,55,105,85,30,Chlorophyll,Solar Power,Early Bird,0.8,8.5,Yellow,Grass,,,,
yanma,193,Yanma,Bug,Flying,65,65,45,75,45,95,Speed Boost,Compound Eyes,Frisk,1.2,38,Red,Bug,,,,
wooper,194,Wooper,Water,Ground,55,45,45,25,25,15,Damp,Water Absorb,Unaware,0.4,8.5,Blue,Water 1; Field,,,,
wooperpaldea,194,Wooper-Paldea,Poison,Ground,55,45,45,25,25,15,Poison Point,Water Absorb,Unaware,0.4,11,Brown,Water 1; Field,,,Paldea,Wooper
quagsire,195,Quagsire,Water,Ground,95,85,85,65,65,35,Damp,Water Absorb,Unaware,1.4,75,Blue,Water 1; Field,,,,
espeon,196,Espeon,Psychic,,65,65,60,130,95,110,Synchronize,,Magic Bounce,0.9,26.5,Purple,Field,0.875,0.125,,
umbreon,197,Umbreon,Dark,,95,65,110,60,130,65,Synchronize,,Inner Focus,1,27,Black,Field,0.875,0.125,,
murkrow,198,Murkrow,Dark,Flying,60,85,42,85,42,91,Insomnia,Super Luck,Prankster,0.5,2.1,Black,Flying,,,,
slowking,199,Slowking,Water,Psychic,95,75,80,100,110,30,Oblivious,Own Tempo,Regenerator,2,79.5,Pink,Monster; Water 1,,,,
slowkinggalar,199,Slowking-Galar,Poison,Psychic,95,65,80,110,110,30,Curious Medicine,Own Tempo,Regenerator,1.8,79.5,Pink,Monster; Water 1,,,Galar,Slowking
misdreavus,200,Misdreavus,Ghost,,60,60,60,85,85,85,Levitate,,,0.7,1,Gray,Amorphous,,,,
unown,201,Unown,Psychic,,48,72,48,72,48,48,Levitate,,,0.5,5,Black,Undiscovered,,,,
wobbuffet,202,Wobbuffet,Psychic,,190,33,58,33,58,33,Shadow Tag,,Telepathy,1.3,28.5,Blue,Amorphous,,,,
girafarig,203,Girafarig,Normal,Psychic,70,80,65,90,65,85,Inner Focus,Early Bird,Sap Sipper,1.5,41.5,Yellow,Field,,,,
pineco,204,Pineco,Bug,,50,65,90,35,35,15,Sturdy,,Overcoat,0.6,7.2,Gray,Bug,,,,
forretress,205,Forretress,Bug,Steel,75,90,140,60,60,40,Sturdy,,Overcoat,1.2,125.8,Purple,Bug,,,,
dunsparce,206,Dunsparce,Normal,,100,70,70,65,65,45,Serene Grace,Run Away,Rattled,1.5,14,Yellow,Field,,,,
gligar,207,Gligar,Ground,Flying,65,75,105,35,65,85,Hyper Cutter,Sand Veil,Immunity,1.1,64.8,Purple,Bug,,,,
steelix,208,Steelix,Steel,Ground,75,85,200,55,65,30,Rock Head,Sturdy,Sheer Force,9.2,400,Gray,Mineral,,,,
steelixmega,208,Steelix-Mega,Steel,Ground,75,125,230,55,95,30,Sand Force,,,10.5,740,Gray,Mineral,,,Mega,Steelix
snubbull,209,Snubbull,Fairy,,60,80,50,40,40,30,Intimidate,Run Away,Rattled,0.6,7.8,Pink,Field; Fairy,0.25,0.75,,
granbull,210,Granbull,Fairy,,90,120,75,60,60,45,Intimidate,Quick Feet,Rattled,1.4,48.7,Purple,Field; Fairy,0.25,0.75,,
qwilfish,211,Qwilfish,Water,Poison,65,95,85,55,55,85,Poison Point,Swift Swim,Intimidate,0.5,3.9,Gray,Water 2,,,,
qwilfishhisui,211,Qwilfish-Hisui,Dark,Poison,65,95,85,55,55,85,Poison Point,Swift Swim,Intimidate,0.5,3.9,Black,Water 2,,,Hisui,Qwilfish
scizor,212,Scizor,Bug,Steel,70,130,100,55,80,65,Swarm,Technician,Light Metal,1.8,118,Red,Bug,,,,
scizormega,212,Scizor-Mega,Bug,Steel,70,150,140,65,100,75,Technician,,,2,125,Red,Bug,,,Mega,Scizor
shuckle,213,Shuckle,Bug,Rock,20,10,230,10,230,5,Sturdy,Gluttony,Contrary,0.6,20.5,Yellow,Bug,,,,
heracross,214,Heracross,Bug,Fighting,80,125,75,40,95,85,Swarm,Guts,Moxie,1.5,54,Blue,Bug,,,,
heracrossmega,214,Heracross-Mega,Bug,Fighting,80,185,115,40,105,75,Skill Link,,,1.7,62.5,Blue,Bug,,,Mega,Heracross
sneasel,215,Sneasel,Dark,Ice,55,95,55,35,75,115,Inner Focus,Keen Eye,Pickpocket,0.9,28,Black,Field,,,,
sneaselhisui,215,Sneasel-Hisui,Fighting,Poison,55,95,55,35,75,115,Inner Focus,Keen Eye,Pickpocket,0.9,27,Gray,Field,,,Hisui,Sneasel
teddiursa,216,Teddiursa,Normal,,60,80,50,50,50,40,Pickup,Quick Feet,Honey Gather,0.6,8.8,Brown,Field,,,,
ursaring,217,Ursaring,Normal,,90,130,75,75,75,55,Guts,Quick Feet,Unnerve,1.8,125.8,Brown,Field,,,,
slugma,218,Slugma,Fire,,40,40,40,70,40,20,Magma Armor,Flame Body,Weak Armor,0.7,35,Red,Amorphous,,,,
magcargo,219,Magcargo,Fire,Rock,60,50,120,90,80,30,Magma Armor,Flame Body,Weak Armor,0.8,55,Red,Amorphous,,,,
swinub,220,Swinub,Ice,Ground,50,50,40,30,30,50,Oblivious,Snow Cloak,Thick Fat,0.4,6.5,Brown,Field,,,,
piloswine,221,Piloswine,Ice,Ground,100,100,80,60,60,50,Oblivious,Snow Cloak,Thick Fat,1.1,55.8,Brown,Field,,,,
corsola,222,Corsola,Water,Rock,65,55,95,65,95,35,Hustle,Natural Cure,Regenerator,0.6,5,Pink,Water 1; Water 3,0.25,0.75,,
corsolagalar,222,Corsola-Galar,Ghost,,60,55,100,65,100,30,Weak Armor,,Cursed Body,0.6,0.5,White,Water 1; Water 3,0.25,0.75,Galar,Corsola
remoraid,223,Remoraid,Water,,35,65,35,65,35,65,Hustle,Sniper,Moody,0.6,12,Gray,Water 1; Water 2,,,,
octillery,224,Octillery,Water,,75,105,75,105,75,45,Suction Cups,Sniper,Moody,0.9,28.5,Red,Water 1; Water 2,,,,
delibird,225,Delibird,Ice,Flying,45,55,45,65,45,75,Vital Spirit,Hustle,Insomnia,0.9,16,Red,Water 1; Field,,,,
mantine,226,Mantine,Water,Flying,85,40,70,80,140,70,Swift Swim,Water Absorb,Water Veil,2.1,220,Purple,Water 1,,,,
skarmory,227,Skarmory,Steel,Flying,65,80,140,40,70,70,Keen Eye,Sturdy,Weak Armor,1.7,50.5,Gray,Flying,,,,
skarmorymega,227,Skarmory-Mega,Steel,Flying,65,140,110,40,100,110,Keen Eye,Sturdy,Weak Armor,1.7,40.4,Gray,Flying,,,Mega,Skarmory
houndour,228,Houndour,Dark,Fire,45,60,30,80,50,65,Early Bird,Flash Fire,Unnerve,0.6,10.8,Black,Field,,,,
houndoom,229,Houndoom,Dark,Fire,75,90,50,110,80,95,Early Bird,Flash Fire,Unnerve,1.4,35,Black,Field,,,,
houndoommega,229,Houndoom-Mega,Dark,Fire,75,90,90,140,90,115,Solar Power,,,1.9,49.5,Black,Field,,,Mega,Houndoom
kingdra,230,Kingdra,Water,Dragon,75,95,95,95,95,85,Swift Swim,Sniper,Damp,1.8,152,Blue,Water 1; Dragon,,,,
phanpy,231,Phanpy,Ground,,90,60,60,40,40,40,Pickup,,Sand Veil,0.5,33.5,Blue,Field,,,,
donphan,232,Donphan,Ground,,90,120,120,60,60,50,Sturdy,,Sand Veil,1.1,120,Gray,Field,,,,
porygon2,233,Porygon2,Normal,,85,80,90,105,95,60,Trace,Download,Analytic,0.6,32.5,Red,Mineral,,,,
stantler,234,Stantler,Normal,,73,95,62,85,65,85,Intimidate,Frisk,Sap Sipper,1.4,71.2,Brown,Field,,,,
smeargle,235,Smeargle,Normal,,55,20,35,20,45,75,Own Tempo,Technician,Moody,1.2,58,White,Field,,,,
tyrogue,236,Tyrogue,Fighting,,35,35,35,35,35,35,Guts,Steadfast,Vital Spirit,0.7,21,Purple,Undiscovered,,,,
hitmontop,237,Hitmontop,Fighting,,50,95,95,35,110,70,Intimidate,Technician,Steadfast,1.4,48,Brown,Human-Like,,,,
smoochum,238,Smoochum,Ice,Psychic,45,30,15,85,65,65,Oblivious,Forewarn,Hydration,0.4,6,Pink,Undiscovered,,,,
elekid,239,Elekid,Electric,,45,63,37,65,55,95,Static,,Vital Spirit,0.6,23.5,Yellow,Undiscovered,0.75,0.25,,
magby,240,Magby,Fire,,45,75,37,70,55,83,Flame Body,,Vital Spirit,0.7,21.4,Red,Undiscovered,0.75,0.25,,
miltank,241,Miltank,Normal,,95,80,105,40,70,100,Thick Fat,Scrappy,Sap Sipper,1.2,75.5,Pink,Field,,,,
blissey,242,Blissey,Normal,,255,10,10,75,135,55,Natural Cure,Serene Grace,Healer,1.5,46.8,Pink,Fairy,,,,
raikou,243,Raikou,Electric,,90,85,75,115,100,115,Pressure,,Inner Focus,1.9,178,Yellow,Undiscovered,,,,
entei,244,Entei,Fire,,115,115,85,90,75,100,Pressure,,Inner Focus,2.1,198,Brown,Undiscovered,,,,
suicune,245,Suicune,Water,,100,75,115,90,115,85,Pressure,,Inner Focus,2,187,Blue,Undiscovered,,,,
larvitar,246,Larvitar,Rock,Ground,50,64,50,45,50,41,Guts,,Sand Veil,0.6,72,Green,Monster,,,,
pupitar,247,Pupitar,Rock,Ground,70,84,70,65,70,51,Shed Skin,,,1.2,152,Gray,Monster,,,,
tyranitar,248,Tyranitar,Rock,Dark,100,134,110,95,100,61,Sand Stream,,Unnerve,2,202,Green,Monster,,,,
tyranitarmega,248,Tyranitar-Mega,Rock,Dark,100,164,150,95,120,71,Sand Stream,,,2.5,255,Green,Monster,,,Mega,Tyranitar
lugia,249,Lugia,Psychic,Flying,106,90,130,90,154,110,Pressure,,Multiscale,5.2,216,White,Undiscovered,,,,
hooh,250,Ho-Oh,Fire,Flying,106,130,90,110,154,90,Pressure,,Regenerator,3.8,199,Red,Undiscovered,,,,
celebi,251,Celebi,Psychic,Grass,100,100,100,100,100,100,Natural Cure,,,0.6,5,Green,Undiscovered,,,,
treecko,252,Treecko,Grass,,40,45,35,65,55,70,Overgrow,,Unburden,0.5,5,Green,Monster; Dragon,0.875,0.125,,
grovyle,253,Grovyle,Grass,,50,65,45,85,65,95,Overgrow,,Unburden,0.9,21.6,Green,Monster; Dragon,0.875,0.125,,
sceptile,254,Sceptile,Grass,,70,85,65,105,85,120,Overgrow,,Unburden,1.7,52.2,Green,Monster; Dragon,0.875,0.125,,
sceptilemega,254,Sceptile-Mega,Grass,Dragon,70,110,75,145,85,145,Lightning Rod,,,1.9,55.2,Green,Monster; Dragon,0.875,0.125,Mega,Sceptile
torchic,255,Torchic,Fire,,45,60,40,70,50,45,Blaze,,Speed Boost,0.4,2.5,Red,Field,0.875,0.125,,
combusken,256,Combusken,Fire,Fighting,60,85,60,85,60,55,Blaze,,Speed Boost,0.9,19.5,Red,Field,0.875,0.125,,
blaziken,257,Blaziken,Fire,Fighting,80,120,70,110,70,80,Blaze,,Speed Boost,1.9,52,Red,Field,0.875,0.125,,
blazikenmega,257,Blaziken-Mega,Fire,Fighting,80,160,80,130,80,100,Speed Boost,,,1.9,52,Red,Field,0.875,0.125,Mega,Blaziken
mudkip,258,Mudkip,Water,,50,70,50,50,50,40,Torrent,,Damp,0.4,7.6,Blue,Monster; Water 1,0.875,0.125,,
marshtomp,259,Marshtomp,Water,Ground,70,85,70,60,70,50,Torrent,,Damp,0.7,28,Blue,Monster; Water 1,0.875,0.125,,
swampert,260,Swampert,Water,Ground,100,110,90,85,90,60,Torrent,,Damp,1.5,81.9,Blue,Monster; Water 1,0.875,0.125,,
swampertmega,260,Swampert-Mega,Water,Ground,100,150,110,95,110,70,Swift Swim,,,1.9,102,Blue,Monster; Water 1,0.875,0.125,Mega,Swampert
poochyena,261,Poochyena,Dark,,35,55,35,30,30,35,Run Away,Quick Feet,Rattled,0.5,13.6,Gray,Field,,,,
mightyena,262,Mightyena,Dark,,70,90,70,60,60,70,Intimidate,Quick Feet,Moxie,1,37,Gray,Field,,,,
zigzagoon,263,Zigzagoon,Normal,,38,30,41,30,41,60,Pickup,Gluttony,Quick Feet,0.4,17.5,Brown,Field,,,,
zigzagoongalar,263,Zigzagoon-Galar,Dark,Normal,38,30,41,30,41,60,Pickup,Gluttony,Quick Feet,0.4,17.5,White,Field,,,Galar,Zigzagoon
linoone,264,Linoone,Normal,,78,70,61,50,61,100,Pickup,Gluttony,Quick Feet,0.5,32.5,White,Field,,,,
linoonegalar,264,Linoone-Galar,Dark,Normal,78,70,61,50,61,100,Pickup,Gluttony,Quick Feet,0.5,32.5,White,Field,,,Galar,Linoone
wurmple,265,Wurmple,Bug,,45,45,35,20,30,20,Shield Dust,,Run Away,0.3,3.6,Red,Bug,,,,
silcoon,266,Silcoon,Bug,,50,35,55,25,25,15,Shed Skin,,,0.6,10,White,Bug,,,,
beautifly,267,Beautifly,Bug,Flying,60,70,50,100,50,65,Swarm,,Rivalry,1,28.4,Yellow,Bug,,,,
cascoon,268,Cascoon,Bug,,50,35,55,25,25,15,Shed Skin,,,0.7,11.5,Purple,Bug,,,,
dustox,269,Dustox,Bug,Poison,60,50,70,50,90,65,Shield Dust,,Compound Eyes,1.2,31.6,Green,Bug,,,,
lotad,270,Lotad,Water,Grass,40,30,30,40,50,30,Swift Swim,Rain Dish,Own Tempo,0.5,2.6,Green,Water 1; Grass,,,,
lombre,271,Lombre,Water,Grass,60,50,50,60,70,50,Swift Swim,Rain Dish,Own Tempo,1.2,32.5,Green,Water 1; Grass,,,,
ludicolo,272,Ludicolo,Water,Grass,80,70,70,90,100,70,Swift Swim,Rain Dish,Own Tempo,1.5,55,Green,Water 1; Grass,,,,
